net,length_um
_176_,279.18
_218_,268.22
net1,266.77
_025_,256.54
_238_,250.755
_198_,246.195
_190_,243.15
_019_,241.95
_197_,233.2
net12,232.46
_195_,231.21
_185_,230.42
_189_,228.22
net15,226.38
_200_,225.92
_205_,224.12
_246_,222.54
_074_,220.12
_241_,218.21
_217_,216.22
_065_,215.98
net14,212.49
net4,209.86
net5,207.69
net9,205.1
_052_,201.79
_183_,201.46
net7,199.1
_103_,198.92
_182_,196.29
net19,194.35
_106_,191.12
net16,190.95
_095_,190.14
_006_,187.09
_193_,186.815
_013_,186.36
_021_,185.32
net8,185.25
_203_,179.11
net17,178.1
_038_,178.065
_120_,176.4
_061_,176.21
_004_,173.66
_005_,172.57
net2,171.4
net11,167.03
net18,166.62
_125_,165.55
_112_,163.35
_027_,162.57
_020_,162.37
net10,160.41
net3,160.03
_230_,160.01
_180_,159.28
_066_,159.13
_076_,158.8
_091_,158.46
_064_,158.06
_167_,155.48
_072_,155.04
_090_,153.44
_053_,152.44
_109_,151.06
_181_,150.5
_044_,150.31
_093_,149.88
_002_,149.62
_154_,149.32
_060_,146.13
_058_,145.34
_092_,145.29
_008_,143.1
_207_,141.94
_132_,139.3
net13,138.4
_206_,138.02
_110_,136.77
_123_,135.82
_035_,133.92
_194_,133.48
_024_,133.255
_137_,132.6
_111_,132.29
_062_,130.06
_204_,129.94
_034_,127.61
_138_,127.52
_187_,127.01
net22,126.6
_234_,124.98
_233_,124.84
_010_,124.78
_225_,124.6
_209_,123.84
_081_,122.77
_069_,122.65
_045_,121.74
_201_,121.16
_161_,120.16
_135_,119.515
_165_,119.5
_244_,118.81
_245_,117.94
_141_,117.66
_003_,115.91
_094_,115.135
_088_,114.79
_077_,112.88
_041_,112.46
_054_,112.04
net35,111.78
_107_,111.72
_143_,111.04
_029_,110.93
_243_,107.68
_247_,107.34
_055_,107
_100_,106.06
_153_,106.03
net33,102.26
_174_,101.3
_048_,99.8
_229_,98.38
_067_,96.9
_221_,96.85
_196_,96.54
net34,96.18
_031_,95.38
_063_,95.12
_133_,93.4
_163_,93.34
_119_,92.36
net20,92.08
_028_,91.92
_014_,91.78
_033_,91.26
_214_,91.24
_162_,90.92
_030_,90.52
_049_,89.5
_152_,89.3
_086_,89.18
_242_,88.44
_149_,88.33
_240_,88
net26,87.4
_131_,87.26
_134_,87.16
_166_,86.2
_114_,85.28
_186_,85.26
_124_,85.02
_171_,83.64
_036_,83.1
_130_,82.77
net6,81.24
_215_,80.82
_148_,80.74
_226_,80.3
_224_,80.14
_098_,79.81
_208_,79.14
_145_,78.88
_079_,78.77
_122_,78.215
_085_,77.51
_080_,77.16
_050_,76.82
_146_,76.76
_057_,76.58
_210_,76.36
net27,76.36
_126_,75.7
net21,75.26
_168_,75.1
_070_,74.92
_101_,73.6
net25,73.34
_099_,72.43
_082_,71.96
_068_,70.91
_139_,69.76
_216_,69.44
_231_,69.12
_089_,68.12
_016_,67.95
_142_,67.95
_056_,67.88
_169_,67.73
_160_,66.8
_097_,65.62
net23,65.61
_047_,64.06
_236_,63.46
_096_,62
_202_,61.24
_159_,60.64
_223_,59.7
_136_,59.46
_155_,59.16
_178_,58.54
_051_,58.06
_011_,57.56
_158_,57.46
_023_,57.06
_009_,55.54
_212_,55.48
_108_,55.42
_046_,55.38
_157_,54.84
net39,54.78
_239_,54.65
_022_,54.26
_083_,53.54
_164_,53.46
net40,53.08
_199_,53
_043_,51.98
_121_,51.92
_227_,51.58
_073_,50.64
_191_,49.86
_032_,49.82
_147_,49.68
_128_,48.02
_188_,47.94
_156_,47.88
_104_,47.6
_170_,46.66
_144_,43.88
_039_,43.48
_012_,42.96
_173_,42.92
_007_,42.56
_042_,42.16
_175_,41.2
_018_,40.52
_117_,40.44
_172_,39.98
net36,38.86
net29,38.62
_105_,38.38
_220_,38.32
_179_,38.245
_037_,38.2
_228_,37.69
_237_,37.38
net28,35.14
_177_,34.96
_213_,34.8
net38,34.46
_040_,33.94
net31,31.8
_026_,30.46
_071_,29.84
_192_,29.82
_129_,29.18
_115_,29
_232_,27.54
_140_,27.18
_087_,26.66
_235_,25.96
_151_,25.61
_059_,25.38
net37,25.34
_078_,24.92
_219_,23.2
_184_,22.28
A[0],20.97
_000_,20.82
_127_,20.76
_075_,20.66
_116_,20.38
_084_,19.18
_113_,18.36
_001_,17.68
B[7],17.5
out[0],17.41
_211_,15.38
out[3],14.97
_118_,14.76
A[7],14.67
B[4],14.56
_222_,13.72
B[2],12.6
B[1],11.68
B[5],11.34
B[6],10.88
B[0],10.76
B[3],10.76
opcode[2],10.68
net32,10
out[7],9.73
_150_,9.02
_015_,8.86
opcode[1],8.84
opcode[0],8.72
net30,7.735
A[4],7.37
_102_,7.18
_017_,6.76
out[1],6.21
out[5],6.21
net24,6.2
A[1],6.09
A[5],6.09
A[6],5.63
out[2],5.53
A[2],5.41
out[4],4.85
out[6],4.85
A[3],4.27
net41,2.06
